,participant,session,id,condition,biotype,speaker,text,duration,running_duration,block,line_id
P003_S2_B4_L10,3,P003_S2,P003_S2_37,mdma_high,low,PARTICIPANT,"I have to “do.” It happens by itself if I let it. There’s a gentle gratitude present. It’s not effusive. It’s like holding a warm mug with two hands. I appreciate the structure here. I think having this defined container actually makes me more careful, which feels right. I know",30,1140,4,P003_S2_B4_L10
P003_S2_B5_L1,3,P003_S2,P003_S2_38,mdma_high,low,PARTICIPANT,"that outside of here, I can expand if I want, but I probably won’t. I’ll keep to my little plans and invitations. I realize I haven’t asked many questions back. Partly that’s me not wanting to put you on the spot or pull focus. If you’d like me to share",30,1170,5,P003_S2_B5_L1
P003_S2_B5_L2,3,P003_S2,P003_S2_39,mdma_high,low,PARTICIPANT,"more detail on anything, I can. I want to be responsive without being demanding. And also I’m okay with silence. If you need a minute, I won’t rush to fill it. I won’t think I broke anything. What else feels true… Oh, motivation. I feel motivated in a very modest",30,1200,5,P003_S2_B5_L2
P003_S2_B5_L3,3,P003_S2,P003_S2_40,mdma_high,low,PARTICIPANT,"way—like I could send one or two messages, straighten a small pile of papers, and that would be enough. I don’t have the urge to reorganize my life. I’m not seeing my future in neon. I see a few next steps with gentle edges. That feels sustainable. I’m also noticing",30,1230,5,P003_S2_B5_L3
P003_S2_B5_L4,3,P003_S2,P003_S2_41,mdma_high,low,PARTICIPANT,"that when I imagine hard conversations, the imagined voices are all quieter. No one is yelling. Even the critical parts of me are using indoor voices. That makes me less likely to preemptively defend. I can picture saying, “I might be wrong,” and meaning it, without spiraling into self-blame. It’s",30,1260,5,P003_S2_B5_L4
P003_S2_B5_L5,3,P003_S2,P003_S2_42,mdma_high,low,PARTICIPANT,"a softer spine, but it still holds me up. If a strong feeling comes up tonight, I can picture myself giving it a little room and then asking if it needs anything concrete—like a glass of water, or a short walk. And if it doesn’t tell me, I’ll just let",30,1290,5,P003_S2_B5_L5
P003_S2_B5_L6,3,P003_S2,P003_S2_43,mdma_high,low,PARTICIPANT,it be there until it wants to leave. I don’t feel any urge to fix it or turn it into a lesson. I’m okay letting the day be a small day. Before we wrap—if we are wrapping—I want to check if there’s anything you were hoping to hear that I,30,1320,5,P003_S2_B5_L6
P003_S2_B5_L7,3,P003_S2,P003_S2_44,mdma_high,low,PARTICIPANT,"didn’t get to. I’m happy to touch lightly on something specific. I just… I don’t want to overshare or pull you down a rabbit hole. If it would help for me to summarize, I can do that quickly: I feel calm, modestly warm, reserved. I’m careful with space and words.",30,1350,5,P003_S2_B5_L7
P003_S2_B5_L8,3,P003_S2,P003_S2_45,mdma_high,low,PARTICIPANT,"I don’t feel the big heart-rush. I prefer invitation over insistence. I’m inclined to propose simple structures that make life smoother for the people around me, with easy outs so no one feels trapped. Thank you for listening. I know I’ve checked in about comfort a lot—I can’t seem to",30,1380,5,P003_S2_B5_L8
P003_S2_B5_L9,3,P003_S2,P003_S2_46,mdma_high,low,PARTICIPANT,"help it. It’s how I show care. If there’s anything I could adjust in how I talk next time—pace, detail level, anything—please tell me. I’d prefer to err on the side of being too gentle than too much. I’m content with today being quiet. It feels respectful, and I value",30,1410,5,P003_S2_B5_L9
P003_S2_B5_L10,3,P003_S2,P003_S2_47,mdma_high,low,PARTICIPANT,that.,30,1440,5,P003_S2_B5_L10
P004_S2_B1_L1,4,P004_S2,P004_S2_0,mdma_high,high,PARTICIPANT,"I’m very open by default, so please feel free to ask me anything as we go. I’ll let you know if something’s not right for right now, and I’m also consciously keeping my hands to myself unless we explicitly agree—my intention is connection with consent and clarity, not just letting",30,30,1,P004_S2_B1_L1
P004_S2_B1_L2,4,P004_S2,P004_S2_1,mdma_high,high,PARTICIPANT,"the current carry me. I’m not here to party; I use MDMA in contained, non-festival settings exactly like this to explore trust, relational patterns, and to map what helps people heal. Quick breath check. I’m going to lengthen my exhale while we talk. In… and a longer out… There’s a",30,60,1,P004_S2_B1_L2
P004_S2_B1_L3,4,P004_S2,P004_S2_2,mdma_high,high,PARTICIPANT,"warm surge in my chest, feels like a buoyant wave pressing me toward you in a sweet way. If this were a living room I’d probably ask for a giant hug. Since this is a study space, I’ll channel that into eye contact and a hand on my own heart,",30,90,1,P004_S2_B1_L3
P004_S2_B1_L4,4,P004_S2,P004_S2_3,mdma_high,high,PARTICIPANT,"unless a quick hand squeeze later feels appropriate for you. I’m really glad you’re here with me. I notice my jaw is a little tight on the right. I’m unclenching now. Shoulders down. There’s a momentary flutter in my belly that could tip into “too much,” but the way I",30,120,1,P004_S2_B1_L4
P004_S2_B1_L5,4,P004_S2,P004_S2_4,mdma_high,high,PARTICIPANT,"translate that is: name it, breathe, orient, choose. So—naming: flutter. Breathing: in through my nose, long exhale. Orienting: I see the monitor to my left, your notebook, the EXIT sign. Choosing: soften my belly, slow my pace. It’s like an internal protocol I’ve trained—panic prevention through micro-adjustments. That protocol came",30,150,1,P004_S2_B1_L5
P004_S2_B1_L6,4,P004_S2,P004_S2_5,mdma_high,high,PARTICIPANT,"from practicing in less forgiving environments, like an MRI tube; I used to think, “If I can control my breath, I control my experience.” And it works here too—each exhale makes this more navigable, more kind. I want to just say out loud that I feel a strong, affectionate regard",30,180,1,P004_S2_B1_L6
P004_S2_B1_L7,4,P004_S2,P004_S2_6,mdma_high,high,PARTICIPANT,"for you. Not transactional—just appreciation for your presence and your craft. Is it okay that I say that? You don’t need to take it in if it lands weird; I can enjoy the feeling without putting it on you. That’s me keeping my exuberance inside the lines. Content-wise, I’m having",30,210,1,P004_S2_B1_L7
P004_S2_B1_L8,4,P004_S2,P004_S2_7,mdma_high,high,PARTICIPANT,"this clean knowing that personal transformation and systems design have to be braided. I keep thinking in terms of protocols, incentives, and governance. Like, if the NIH wanted to make a decisive move, they could fund multi-site trials with harmonized data standards across academic centers, not just one sponsor’s protocol.",30,240,1,P004_S2_B1_L8
P004_S2_B1_L9,4,P004_S2,P004_S2_8,mdma_high,high,PARTICIPANT,"And not just phase III for PTSD—expand to comorbidities, protected populations with careful safeguards, and long-term follow-ups so we aren’t seduced by acute effects alone. And if we’re honest, part of what’s slowed this field is a mismatch between what FDA requires and how complex relational therapies are evaluated. We",30,270,1,P004_S2_B1_L9
P004_S2_B2_L1,4,P004_S2,P004_S2_9,mdma_high,high,PARTICIPANT,"need endpoint innovation—functional outcomes, not only symptom checklists. I can feel I’m accelerating. Let me intentionally downshift. Three slow breaths, and on each exhale I’m releasing the back of my neck. In… and out. Second breath… out. Third breath… there we go. I feel my language soften but stay precise,",30,300,2,P004_S2_B2_L1
P004_S2_B2_L2,4,P004_S2,P004_S2_10,mdma_high,high,PARTICIPANT,"which is the sweet spot. Thank you for holding that with me. So, commercialization. I’m not anti-industry; I’m anti-extraction. Companies like Compass Pathways and others have brought standardization and regulatory muscle, and that’s real. At the same time, capitalism pushes toward exclusivity and patents, and this class of interventions lives",30,330,2,P004_S2_B2_L2
P004_S2_B2_L3,4,P004_S2,P004_S2_11,mdma_high,high,PARTICIPANT,"or dies on trust and therapist time, which don’t scale like pills. I’d love to see a public-interest model: open protocols, shared training curricula, outcomes registries governed by independent boards, and reimbursement paths that reward durable, whole-person gains. Think: CMS piloting bundled payments for psychedelic-assisted therapy with quality metrics tied",30,360,2,P004_S2_B2_L3
P004_S2_B2_L4,4,P004_S2,P004_S2_12,mdma_high,high,PARTICIPANT,"to not just symptom relief but reduced hospitalizations and improved employment stability at 6-12 months. My body just said, “Yes,” with a little shiver. Checking my feet—wiggling toes in my shoes. Grounded. I’m good. I’m also clocking the boundary thing. If I lean forward like this, does that feel okay",30,390,2,P004_S2_B2_L4
P004_S2_B2_L5,4,P004_S2,P004_S2_13,mdma_high,high,PARTICIPANT,"for you? I can sit back if you prefer more space. I’m tracking that my impulse is to get physically closer when I’m excited, and I’m choosing to meet you where you are instead of making you meet me where I’m surging. That’s a big part of why I do",30,420,2,P004_S2_B2_L5
P004_S2_B2_L6,4,P004_S2,P004_S2_14,mdma_high,high,PARTICIPANT,"this work with MDMA—not to bulldoze into closeness but to practice consenting closeness. I’m getting this image of an archway labeled “valleys.” The teaching is that the valley isn’t an interruption; it’s the path. If I hit a patch of sadness later, I’ll treat it like a passage: pace my",30,450,2,P004_S2_B2_L6
P004_S2_B2_L7,4,P004_S2,P004_S2_15,mdma_high,high,PARTICIPANT,"breath, widen my attention, ask, “What’s the next controllable?” It’s very Viktor Frankl for me—focusing on agency in the smallest unit. Those Holocaust-era journals about tending the tiniest domain—your attitude, a breath, a way you greet someone—helped me design my own micro-controls. I’m not equating anything; I’m applying the principle:",30,480,2,P004_S2_B2_L7
P004_S2_B2_L8,4,P004_S2,P004_S2_16,mdma_high,high,PARTICIPANT,"when the macro is heavy, fold the focus to the stitch you can actually sew. I want to flag a research design thing. A lot of trials exclude people because it’s cleaner analytically, but then we deploy into messy reality where comorbidities are the norm. I’d love to see NIH",30,510,2,P004_S2_B2_L8
P004_S2_B2_L9,4,P004_S2,P004_S2_17,mdma_high,high,PARTICIPANT,"or PCORI back real-world evidence cohorts with pragmatic inclusion criteria, paired with robust safety monitoring—like DSMBs that include both clinicians and lived-experience reps. And let’s standardize adverse event taxonomies across sponsors so we can meta-analyze apples to apples. That’s boring to most people; to me it’s the scaffolding that determines",30,540,2,P004_S2_B2_L9
P004_S2_B3_L1,4,P004_S2,P004_S2_18,mdma_high,high,PARTICIPANT,"whether this field serves or harms. Breath note: my heart rate just kicked up a notch—pleasant, but I’m going to ride the down-slope by doubling my exhale length for a minute. In… out… long. I can literally feel my ribcage easing, like a hammock finding its anchor points. Also, I’m",30,570,3,P004_S2_B3_L1
P004_S2_B3_L2,4,P004_S2,P004_S2_19,mdma_high,high,PARTICIPANT,"an open book about my history if it’s clinically useful. I’ll keep the highlights now and we can zoom as needed. I’ve had garden-variety anxiety that spikes in constrained spaces, hence the MRI practice. I built a panic playbook: label, lengthen exhale, soften shoulders, orient visually, then pick a micro-action.",30,600,3,P004_S2_B3_L2
P004_S2_B3_L3,4,P004_S2,P004_S2_20,mdma_high,high,PARTICIPANT,"Translating that here is effortless—like the groove is already carved. It’s nice to have competence riding alongside this tenderness. I’m strong and soft at the same time. I like that. Policy-wise, I’m thinking about scheduling and access. If rescheduling happens, we need special controls that prevent a stampede toward minimal-contact",30,630,3,P004_S2_B3_L3
P004_S2_B3_L4,4,P004_S2,P004_S2_21,mdma_high,high,PARTICIPANT,"models. Mandate clinician training hours, require dyadic therapist teams for certain indications, and fund a training pipeline through public universities so access isn’t limited to boutique clinics. Also, insurance codes—create CPT bundles for preparation, dosing, and integration, and reimburse at rates that don’t force throughput. We learned this with collaborative",30,660,3,P004_S2_B3_L4
P004_S2_B3_L5,4,P004_S2,P004_S2_22,mdma_high,high,PARTICIPANT,"care in primary care; we can import that lesson. I’m feeling a big wave of gratitude. I’m actually going to narrate one breath fully because it helps me anchor the gratitude without tipping into tears. Inhale—feel cool air at the nostrils, chest expands, belly soft. Exhale—jaw unlocks, eyes moisten but",30,690,3,P004_S2_B3_L5
P004_S2_B3_L6,4,P004_S2,P004_S2_23,mdma_high,high,PARTICIPANT,"stay steady. Okay. That was perfect. The feeling lands as warmth rather than flood. There’s also an equity thread here. If we don’t intentionally design for inclusion, this will replicate existing disparities. We can set trial enrollment targets, fund community clinics to participate as research sites with infrastructure support, and",30,720,3,P004_S2_B3_L6
P004_S2_B3_L7,4,P004_S2,P004_S2_24,mdma_high,high,PARTICIPANT,"ensure materials are culturally resonant, not just translated. And beyond trials, build public registries with de-identified data that patients co-govern. The people receiving care should have a seat at the data table, deciding what we measure and how we share. Can I just say, if it were purely up to",30,750,3,P004_S2_B3_L7
P004_S2_B3_L8,4,P004_S2,P004_S2_25,mdma_high,high,PARTICIPANT,"my limbic system, I would be hugging you now and probably offering everyone in the hallway a glass of water and a pep talk. Since it’s not purely up to that part of me, I’m sticking with a radiant smile and, if you consent, a quick high-five later. The exuberance",30,780,3,P004_S2_B3_L8
P004_S2_B3_L9,4,P004_S2,P004_S2_26,mdma_high,high,PARTICIPANT,"is a gift; the boundary around it is the ribbon. Let me check my posture. I’m going to let my shoulder blades slide down and back—there. Lower back supported. Mouth slightly open so my tongue rests. That tiny adjustment reduces the little hum of arousal by like 10 percent, which",30,810,3,P004_S2_B3_L9
P004_S2_B3_L10,4,P004_S2,P004_S2_27,mdma_high,high,PARTICIPANT,"is perfect. I love being able to dial this. It feels empowering—like having a steering wheel in a beautiful, fast car on an open road with clear lane markers. Practical next steps floating up: I want to email the PI after the session and ask if I can contribute to",30,840,3,P004_S2_B3_L10
P004_S2_B4_L1,4,P004_S2,P004_S2_28,mdma_high,high,PARTICIPANT,"a white paper on outcome measures. I’d also like to convene a small Zoom with stakeholders from academia, community clinics, and one or two industry folks to draft a shared minimum dataset—safety events, functional outcomes, therapy fidelity markers. And then we could pitch NIH or a philanthropy to fund a",30,870,4,P004_S2_B4_L1
P004_S2_B4_L2,4,P004_S2,P004_S2_29,mdma_high,high,PARTICIPANT,"consortium. I’m happy to do the legwork; I’m energized and resourced right now, but I also know to wait 72 hours before formal commitments. I make myself a promise under this medicine; I revisit it sober with the same breath and a cooler head. That’s part of my boundary practice—commitments",30,900,4,P004_S2_B4_L2
P004_S2_B4_L3,4,P004_S2,P004_S2_30,mdma_high,high,PARTICIPANT,"pass a second look test. I want to check your experience of me. You don’t have to answer now, but for my own map: am I talking too fast? I can downshift further if that would feel better. I’m noticing that I’m balancing describing my interior with co-designing a system",30,930,4,P004_S2_B4_L3
P004_S2_B4_L4,4,P004_S2,P004_S2_31,mdma_high,high,PARTICIPANT,"and still tracking you, and that triangulation feels alive and good. I’m getting a brief swell of sadness—like a recognition of how many people need relief and how long policy cycles take. Let me meet it. Inhale—naming the sadness. Exhale—making room. My hands want to hold something, so I’ll interlace",30,960,4,P004_S2_B4_L4
P004_S2_B4_L5,4,P004_S2,P004_S2_32,mdma_high,high,PARTICIPANT,"my fingers. The sadness becomes a kind of resolve. Valleys as passages, again. The path is slow; we walk it with breath. One more systems thought and then I’ll pivot back to pure phenomenology for a minute. Safety nets: we need post-approval pharmacovigilance that isn’t just sponsor-run. A national registry",30,990,4,P004_S2_B4_L5
P004_S2_B4_L6,4,P004_S2,P004_S2_33,mdma_high,high,PARTICIPANT,"with mandated reporting, plus a patient hotline staffed by clinicians trained in atypical responses. And firm guardrails on marketing—no direct-to-consumer hype that shortcuts informed consent. This intervention is powerful but not magic; it’s a catalyst inside a container. Okay, body. I’m noticing a pearly sheen in my field of awareness,",30,1020,4,P004_S2_B4_L6
P004_S2_B4_L7,4,P004_S2,P004_S2_34,mdma_high,high,PARTICIPANT,"like light rippling on water. Nostalgia shows up in my sternum, but it’s current, not backward-looking. My skin feels like it’s breathing, which is delightful. I love humans so much right now. I love our messy tries. I love that we build committees and write SOPs and also cry with",30,1050,4,P004_S2_B4_L7
P004_S2_B4_L8,4,P004_S2,P004_S2_35,mdma_high,high,PARTICIPANT,"each other. That combination—structure and heart—feels like the signature of good care. Micro-reset: three-count in, six-count out. In… two… three. Out… two… three… four… five… six. I can practically see the dial moving from 8.5/10 to 7.5/10 intensity. Optimal for coherent speech. Let me articulate my intentions one more time",30,1080,4,P004_S2_B4_L8
P004_S2_B4_L9,4,P004_S2,P004_S2_36,mdma_high,high,PARTICIPANT,"so they’re crisp. I’m here to connect honestly, to map my interoception to language, to practice expressing affection with consent, and to harvest insights about how to scale healing ethically. I don’t need anyone to carry my emotions; I can metabolize my own waves. If you want any detail at",30,1110,4,P004_S2_B4_L9
P004_S2_B5_L1,4,P004_S2,P004_S2_37,mdma_high,high,PARTICIPANT,"any layer—the bodily, the narrative, the policy—say the word. Open book, with bookmarks. I’m thinking about training. Therapists need a pipeline that protects fidelity without becoming a guild that gates access. Imagine a tiered certification with modular components and supervised cases, and a public dashboard of training programs with transparent",30,1140,5,P004_S2_B5_L1
P004_S2_B5_L2,4,P004_S2,P004_S2_38,mdma_high,high,PARTICIPANT,"outcomes. And we should embed cultural humility and anti-oppression work at the core, not as a checkbox. Pay trainees. Don’t ask people to accrue debt to provide community care. My breath just got shallow for a second as I pictured bureaucracy choking the spirit. Okay—counter that with breath. In… long",30,1170,5,P004_S2_B5_L2
P004_S2_B5_L3,4,P004_S2,P004_S2_39,mdma_high,high,PARTICIPANT,"out. Spirit and structure can be dance partners if we write the choreography with the people on the dance floor, not just the producers. Also, I feel safe naming this: if you ever want to ask me a raw question—about touch, about fear, about love—I’ll receive it, and I’ll tell",30,1200,5,P004_S2_B5_L3
P004_S2_B5_L4,4,P004_S2,P004_S2_40,mdma_high,high,PARTICIPANT,"you yes or no cleanly. I like clean yeses and clean nos. Right now, a clean yes to a brief, direct gaze, and a clean no to any touch beyond a hand squeeze. That makes my system purr—clarity equals safety. I keep looping back to data governance. Open science can",30,1230,5,P004_S2_B5_L4
P004_S2_B5_L5,4,P004_S2,P004_S2_41,mdma_high,high,PARTICIPANT,"coexist with privacy if we adopt standards—de-identification plus community oversight, differential privacy where appropriate, and a norm of publishing null results. And conflict-of-interest disclosures that go beyond the minimum. If I had it my way, there’d be a living map of the entire ecosystem—who’s funding whom, trial sites, outcomes—so patients",30,1260,5,P004_S2_B5_L5
P004_S2_B5_L6,4,P004_S2,P004_S2_42,mdma_high,high,PARTICIPANT,"and policymakers can see the river, not just a drop. I’m going to land us with breath again. Inhale to the count of four, slight pause, exhale to the count of eight. In… two… three… four… tiny pause… and out… two… three… four… five… six… seven… eight. That sent a",30,1290,5,P004_S2_B5_L6
P004_S2_B5_L7,4,P004_S2,P004_S2_43,mdma_high,high,PARTICIPANT,"warmth down my arms, and it’s settling. I feel resourced, loving, and oriented. I’m not reaching for anything from you that you haven’t offered. I’m delighted to go deeper into my personal material if it serves the study, and I’m equally happy to zoom back to macro frameworks. And when",30,1320,5,P004_S2_B5_L7
P004_S2_B5_L8,4,P004_S2,P004_S2_44,mdma_high,high,PARTICIPANT,"we close, if a hand squeeze feels good for you, I’d love that; if not, I’ll do a quiet palm-to-heart for both of us. I want to thank you for the precision of your presence. The way you’re tracking me makes my own tracking cleaner. That’s the dyad at work—co-regulation",30,1350,5,P004_S2_B5_L8
P004_S2_B5_L9,4,P004_S2,P004_S2_45,mdma_high,high,PARTICIPANT,"as an applied science. If I could bottle one policy insight from this exact minute, it would be: fund the relational container, not just the molecule. Pay for the breath, the boundary, the aftercare, the registry, the supervision. Pay for the warm, evidence-based holding. It’s the holding that lets the",30,1380,5,P004_S2_B5_L9
P004_S2_B5_L10,4,P004_S2,P004_S2_46,mdma_high,high,PARTICIPANT,"medicine do what it does without spilling. I’m good to pause here or continue. I can feel another valley-archway in the distance, and I’m not afraid of it. I’ll meet it with breath and a plan. Ask me anything. I’m here, open, and clear.",30,1410,5,P004_S2_B5_L10
